facility_name,city,state,star_rating,hrrp_penalty_pct,vbp_tps,bed_count,operating_margin,net_patient_revenue,est_annual_hrrp_loss
UNION HOSPITAL INC,TERRE HAUTE,IN,3.0,0.57,25.1,261.0,0.0708,676821634.0,3857883.3137999997
SPRING VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,3.0,0.77,23.6,352.0,0.1927,500863849.0,3856651.6373
WINTER HAVEN HOSPITAL,WINTER HAVEN,FL,3.0,0.75,23.0,406.0,0.0552,496565002.0,3724237.5149999997
MERCY HOSPITAL SOUTH,SAINT LOUIS,MO,2.0,0.56,15.4,748.0,0.0377,658639494.0,3688381.1664000005
WELLMONT BRISTOL REGIONAL MEDICAL CENTER,BRISTOL,TN,2.0,1.13,13.8,244.0,0.0419,325565537.0,3678890.5681
OVERLAND PARK REG MED CTR,OVERLAND PARK,KS,4.0,0.71,20.2,265.0,0.4081,504118050.0,3579238.155
BSA HOSPITAL,AMARILLO,TX,2.0,0.55,18.9,357.0,0.0031,647022522.0,3558623.8710000003
NORTH OAKS MEDICAL CENTER,HAMMOND,LA,2.0,0.96,14.4,272.0,0.1358,363093968.0,3485702.0927999998
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,OCOEE,FL,3.0,0.77,28.4,283.0,0.0754,448842776.0,3456089.3752
"UNITED HOSPITAL CENTER, INC",BRIDGEPORT,WV,4.0,0.54,23.5,214.0,0.0392,639212255.0,3451746.177
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,2.0,0.61,20.2,294.0,0.1867,563073940.0,3434751.0339999995
WYANDOTTE HOSPITAL AND MEDICAL CENTER,WYANDOTTE,MI,2.0,0.74,16.5,281.0,0.0525,445941095.0,3299964.103
HCA FLORIDA TRINITY HOSPITAL,TRINITY,FL,2.0,0.84,22.6,264.0,0.2172,383935215.0,3225055.806
ST DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,2.0,0.6,19.7,407.0,0.0573,535080190.0,3210481.14
TENNOVA HEALTHCARE - CLARKSVILLE,CLARKSVILLE,TN,1.0,1.12,14.8,250.0,0.2009,277641101.0,3109580.3312000004
MEDICAL CENTER OF MCKINNEY,MCKINNEY,TX,3.0,0.87,24.4,206.0,0.0178,349604043.0,3041555.1741
FRANCISCAN HEALTH MICHIGAN CITY,MICHIGAN CITY,IN,3.0,0.77,19.4,141.0,0.0982,394616930.0,3038550.361
HCA FLORIDA LARGO HOSPITAL,LARGO,FL,2.0,0.76,13.9,252.0,0.0086,391604040.0,2976190.704
WELLINGTON REGIONAL MEDICAL CENTER,WELLINGTON,FL,2.0,1.17,15.6,235.0,0.021,251282088.0,2940000.4295999995
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,BEACHWOOD,OH,3.0,0.94,23.0,172.0,0.009,312630301.0,2938724.8293999997
HCA FLORIDA AVENTURA HOSPITAL,AVENTURA,FL,3.0,0.6,25.8,324.0,0.473,484081157.0,2904486.9420000003
HCA HOUSTON HEALTHCARE TOMBALL,TOMBALL,TX,3.0,1.21,27.3,194.0,0.0112,234546640.0,2838014.344
COREWELL HEALTH TRENTON HOSPITAL,TRENTON,MI,3.0,1.27,24.3,193.0,0.0046,220367160.0,2798662.932
ADVENTHEALTH HEART OF FLORIDA,DAVENPORT,FL,3.0,0.76,28.3,202.0,0.1842,360746334.0,2741672.1384
LEHIGH VALLEY HOSPITAL - POCONO,EAST STROUDSBURG,PA,3.0,0.79,28.5,237.0,0.1037,346141646.0,2734519.0034000003
HCA FLORIDA NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,1.0,1.2,22.0,241.0,0.1659,224983441.0,2699801.292
SOUTH CENTRAL REG MED CTR,LAUREL,MS,1.0,1.26,15.8,268.0,0.0013,208209124.0,2623434.9624
ST MARY MEDICAL CENTER INC,HOBART,IN,3.0,0.72,24.4,180.0,0.0848,360416135.0,2594996.172
CENTERPOINT MEDICAL CENTER,INDEPENDENCE,MO,3.0,0.58,19.0,265.0,0.2206,436497186.0,2531683.6788
RESTON HOSPITAL CENTER,RESTON,VA,3.0,0.58,29.2,203.0,0.4047,433618707.0,2514988.5006
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,LAKEWOOD,NJ,3.0,1.55,27.0,201.0,0.0045,160027988.0,2480433.814
ST LUKE'S THE WOODLANDS HOSPITAL,THE WOODLANDS,TX,3.0,0.67,25.3,240.0,0.0265,360969669.0,2418496.7823
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,2.0,0.66,14.7,300.0,0.0745,365862715.0,2414693.9189999998
PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,CAMP HILL,PA,3.0,0.7,19.1,207.0,0.0146,343937167.0,2407560.1689999998
PHYSICIANS REGIONAL MEDICAL CENTER,POWELL,TN,3.0,0.54,25.2,293.0,0.1295,438905406.0,2370089.1924
HCA FLORIDA GULF COAST HOSPITAL,PANAMA CITY,FL,2.0,0.58,13.4,253.0,0.3564,408007562.0,2366443.8595999996
PIEDMONT EASTSIDE MEDICAL CENTER,SNELLVILLE,GA,2.0,0.67,18.0,218.0,0.1038,349928136.0,2344518.5112
GOOD SAMARITAN MEDICAL CENTER,WEST PALM BEACH,FL,2.0,0.83,18.4,333.0,0.0914,282321897.0,2343271.7451
HCA FLORIDA FAWCETT HOSPITAL,PORT CHARLOTTE,FL,1.0,0.82,19.1,239.0,0.1308,281212268.0,2305940.5975999995
INGALLS MEMORIAL HOSPITAL,HARVEY,IL,2.0,0.55,17.1,189.0,0.0346,410860314.0,2259731.7270000004
SPOTSYLVANIA REGIONAL MEDICAL CENTER,FREDERICKSBURG,VA,3.0,1.11,22.0,108.0,0.138,201074318.0,2231924.9298
TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,BEDFORD,TX,4.0,0.62,25.5,195.0,0.0425,351401316.0,2178688.1592
MERCY HEALTH-ANDERSON HOSPITAL,CINCINNATI,OH,4.0,0.81,22.2,198.0,0.0099,268650910.0,2176072.3710000003
